roll_year,roll_number,address,assessed_value,assessment_class,assessment_class_description,re_assessed_value,comm_code,comm_name,multipolygon,land_use_designation,property_type,land_size_sm,land_size_sf,land_size_ac,nr_assessed_value,year_of_construction,sub_property_use
2005,061532909,1 10 POINT DR NW,198500,RE,Residential,198500,POI,POINT MCKAY,"{'type': 'MultiPolygon', 'coordinates': [[[[-114.1448385, 51.0614664], [-114.1454875, 51.0604518], [-114.1454861, 51.0604492], [-114.1454848, 51.0604467], [-114.1454835, 51.0604441], [-114.1454821, 51.0604415], [-114.1454808, 51.060439], [-114.1454795, 51.0604364], [-114.1454783, 51.0604338], [-114.145477, 51.0604312], [-114.1454758, 51.0604286], [-114.1454745, 51.060426], [-114.1454733, 51.0604234], [-114.1454721, 51.0604209], [-114.1454709, 51.0604183], [-114.1454698, 51.0604157], [-114.1454686, 51.0604131], [-114.1454675, 51.0604104], [-114.1454663, 51.0604078], [-114.1454652, 51.0604052], [-114.1454641, 51.0604026], [-114.145463, 51.0604], [-114.145462, 51.0603974], [-114.1454609, 51.0603948], [-114.1454599, 51.0603921], [-114.1454589, 51.0603895], [-114.1454579, 51.0603869], [-114.1454569, 51.0603843], [-114.1454559, 51.0603816], [-114.1454549, 51.060379], [-114.145454, 51.0603764], [-114.1454531, 51.0603737], [-114.1454521, 51.0603711], [-114.1454512, 51.0603684], [-114.1454503, 51.0603658], [-114.1454495, 51.0603631], [-114.1454486, 51.0603605], [-114.1454478, 51.0603578], [-114.1454469, 51.0603552], [-114.1454461, 51.0603525], [-114.1454453, 51.0603499], [-114.1454446, 51.0603472], [-114.1454438, 51.0603446], [-114.145443, 51.0603419], [-114.1454423, 51.0603392], [-114.1454416, 51.0603366], [-114.1454409, 51.0603339], [-114.1454402, 51.0603312], [-114.1454395, 51.0603286], [-114.1454388, 51.0603259], [-114.1454382, 51.0603232], [-114.1454376, 51.0603205], [-114.145437, 51.0603179], [-114.1454364, 51.0603152], [-114.1454358, 51.0603125], [-114.1454352, 51.0603098], [-114.1454347, 51.0603072], [-114.1454341, 51.0603045], [-114.1454336, 51.0603018], [-114.1454331, 51.0602991], [-114.1454326, 51.0602964], [-114.1454321, 51.0602937], [-114.1454317, 51.060291], [-114.1454312, 51.0602884], [-114.1454308, 51.0602857], [-114.1454304, 51.060283], [-114.14543, 51.0602803], [-114.1454296, 51.0602776], [-114.1454292, 51.0602749], [-114.1454288, 51.0602722], [-114.1454285, 51.0602695], [-114.1454282, 51.0602668], [-114.1454279, 51.0602641], [-114.1454161, 51.0601588], [-114.145415, 51.06015], [-114.1454138, 51.0601412], [-114.1454123, 51.0601324], [-114.1454106, 51.0601236], [-114.1454087, 51.0601148], [-114.1454066, 51.0601061], [-114.1454043, 51.0600973], [-114.1454018, 51.0600886], [-114.1453991, 51.0600799], [-114.1453962, 51.0600713], [-114.1453932, 51.0600626], [-114.1453899, 51.060054], [-114.1453864, 51.0600454], [-114.1453827, 51.0600369], [-114.1453789, 51.0600284], [-114.1453748, 51.0600199], [-114.1453706, 51.0600115], [-114.1453661, 51.0600031], [-114.1453615, 51.0599947], [-114.1453567, 51.0599864], [-114.1453517, 51.0599781], [-114.1453465, 51.0599699], [-114.1453411, 51.0599617], [-114.1453355, 51.0599536], [-114.1453297, 51.0599455], [-114.1453238, 51.0599375], [-114.1453177, 51.0599295], [-114.1453114, 51.0599216], [-114.1453049, 51.0599137], [-114.1452982, 51.0599059], [-114.1452914, 51.0598982], [-114.1452844, 51.0598905], [-114.1452772, 51.0598829], [-114.1452698, 51.0598754], [-114.1452623, 51.0598679], [-114.1452546, 51.0598605], [-114.1452467, 51.0598532], [-114.1452387, 51.0598459], [-114.1452305, 51.0598387], [-114.1452221, 51.0598316], [-114.1452136, 51.0598246], [-114.1452049, 51.0598176], [-114.1451961, 51.0598107], [-114.1451871, 51.0598039], [-114.1451779, 51.0597972], [-114.1451686, 51.0597906], [-114.1451591, 51.059784], [-114.1451495, 51.0597775], [-114.1451398, 51.0597712], [-114.1451299, 51.0597649], [-114.1451199, 51.0597587], [-114.1451097, 51.0597526], [-114.1450994, 51.0597466], [-114.1450889, 51.0597407], [-114.1450783, 51.0597348], [-114.1450676, 51.0597291], [-114.1450568, 51.0597235], [-114.1450458, 51.0597179], [-114.1450347, 51.0597125], [-114.1450235, 51.0597072], [-114.1450122, 51.059702], [-114.1449173, 51.0596589], [-114.1449105, 51.0596559], [-114.1449037, 51.059653], [-114.1448968, 51.0596501], [-114.1448898, 51.0596473], [-114.1448827, 51.0596446], [-114.1448756, 51.059642], [-114.1448684, 51.0596394], [-114.1448611, 51.059637], [-114.1448537, 51.0596346], [-114.1448463, 51.0596323], [-114.1448389, 51.0596301], [-114.1448313, 51.0596279], [-114.1448237, 51.0596258], [-114.1448161, 51.0596239], [-114.1448084, 51.059622], [-114.1448006, 51.0596202], [-114.1447928, 51.0596184], [-114.144785, 51.0596168], [-114.1447771, 51.0596152], [-114.1447691, 51.0596138], [-114.1447612, 51.0596124], [-114.1447532, 51.0596111], [-114.1447451, 51.0596099], [-114.144737, 51.0596088], [-114.1447289, 51.0596078], [-114.1447208, 51.0596068], [-114.1447126, 51.059606], [-114.1447045, 51.0596052], [-114.1446963, 51.0596046], [-114.144688, 51.059604], [-114.1446798, 51.0596035], [-114.1446716, 51.0596031], [-114.1446633, 51.0596028], [-114.144655, 51.0596026], [-114.1446468, 51.0596024], [-114.1446385, 51.0596024], [-114.1446302, 51.0596024], [-114.144622, 51.0596026], [-114.1446137, 51.0596028], [-114.1446055, 51.0596031], [-114.1445972, 51.0596036], [-114.144589, 51.0596041], [-114.1445808, 51.0596047], [-114.1445726, 51.0596053], [-114.1445644, 51.0596061], [-114.1445563, 51.059607], [-114.1445481, 51.0596079], [-114.14454, 51.059609], [-114.1445319, 51.0596101], [-114.1445239, 51.0596113], [-114.1445159, 51.0596126], [-114.1445079, 51.059614], [-114.1445, 51.0596155], [-114.1444921, 51.0596171], [-114.1444843, 51.0596187], [-114.1444765, 51.0596205], [-114.1444687, 51.0596223], [-114.144461, 51.0596242], [-114.1444534, 51.0596262], [-114.1444458, 51.0596283], [-114.1444383, 51.0596304], [-114.1444308, 51.0596326], [-114.1444234, 51.059635], [-114.1444161, 51.0596374], [-114.1444088, 51.0596399], [-114.1444016, 51.0596424], [-114.1443945, 51.0596451], [-114.1443874, 51.0596478], [-114.1443805, 51.0596506], [-114.1443735, 51.0596534], [-114.1443667, 51.0596564], [-114.14436, 51.0596594], [-114.1443533, 51.0596625], [-114.1443468, 51.0596657], [-114.1443403, 51.0596689], [-114.1443339, 51.0596722], [-114.1443276, 51.0596756], [-114.1443214, 51.059679], [-114.1443153, 51.0596825], [-114.1443093, 51.0596861], [-114.1443034, 51.0596897], [-114.1442975, 51.0596935], [-114.1442918, 51.0596972], [-114.1442862, 51.0597011], [-114.1442807, 51.059705], [-114.1442754, 51.0597089], [-114.1442701, 51.0597129], [-114.1442649, 51.059717], [-114.1442599, 51.0597211], [-114.1442549, 51.0597253], [-114.1442501, 51.0597295], [-114.1442454, 51.0597338], [-114.1442408, 51.0597381], [-114.1442363, 51.0597425], [-114.144232, 51.059747], [-114.1442278, 51.0597514], [-114.1442237, 51.059756], [-114.1442197, 51.0597605], [-114.1442158, 51.0597651], [-114.1442121, 51.0597698], [-114.1442085, 51.0597745], [-114.1442051, 51.0597792], [-114.1442017, 51.059784], [-114.1441985, 51.0597888], [-114.1441955, 51.0597936], [-114.1441925, 51.0597985], [-114.1441898, 51.0598034], [-114.1441871, 51.0598083], [-114.1441846, 51.0598133], [-114.1441822, 51.0598183], [-114.1441799, 51.0598233], [-114.1441778, 51.0598283], [-114.1440455, 51.0601563], [-114.1440431, 51.0601623], [-114.1440406, 51.0601683], [-114.1440381, 51.0601742], [-114.1440356, 51.0601802], [-114.144033, 51.0601862], [-114.1440304, 51.0601921], [-114.1440278, 51.0601981], [-114.1440251, 51.060204], [-114.1440224, 51.0602099], [-114.1440197, 51.0602159], [-114.1440169, 51.0602218], [-114.1440141, 51.0602277], [-114.1440113, 51.0602336], [-114.1440084, 51.0602395], [-114.1440055, 51.0602454], [-114.1440026, 51.0602513], [-114.1439996, 51.0602572], [-114.1439966, 51.0602631], [-114.1439936, 51.060269], [-114.1439905, 51.0602748], [-114.1439874, 51.0602807], [-114.1439843, 51.0602865], [-114.1439811, 51.0602924], [-114.1439779, 51.0602982], [-114.1439747, 51.0603041], [-114.1439714, 51.0603099], [-114.1439681, 51.0603157], [-114.1439648, 51.0603215], [-114.1439614, 51.0603273], [-114.143958, 51.0603331], [-114.1439546, 51.0603389], [-114.1439511, 51.0603447], [-114.1439476, 51.0603504], [-114.1439441, 51.0603562], [-114.1439406, 51.060362], [-114.143937, 51.0603677], [-114.1439334, 51.0603734], [-114.1439297, 51.0603792], [-114.143926, 51.0603849], [-114.1439223, 51.0603906], [-114.1439186, 51.0603963], [-114.1439148, 51.060402], [-114.143911, 51.0604077], [-114.1439071, 51.0604134], [-114.1439032, 51.0604191], [-114.1438993, 51.0604247], [-114.1438954, 51.0604304], [-114.1438914, 51.060436], [-114.1438874, 51.0604417], [-114.1438834, 51.0604473], [-114.1438793, 51.0604529], [-114.1438752, 51.0604585], [-114.1438711, 51.0604641], [-114.1438669, 51.0604697], [-114.1438627, 51.0604753], [-114.1438585, 51.0604809], [-114.1438542, 51.0604864], [-114.1438499, 51.060492], [-114.1438456, 51.0604975], [-114.1438413, 51.0605031], [-114.1438369, 51.0605086], [-114.1438325, 51.0605141], [-114.143828, 51.0605196], [-114.1438236, 51.0605251], [-114.1438191, 51.0605306], [-114.1438145, 51.0605361], [-114.14381, 51.0605415], [-114.1438054, 51.060547], [-114.1438007, 51.0605524], [-114.1437961, 51.0605579], [-114.1437914, 51.0605633], [-114.1437867, 51.0605687], [-114.1437819, 51.0605741], [-114.1437771, 51.0605795], [-114.1437723, 51.0605849], [-114.1437675, 51.0605902], [-114.1437626, 51.0605956], [-114.1437577, 51.0606009], [-114.1437528, 51.0606063], [-114.1437478, 51.0606116], [-114.1437428, 51.0606169], [-114.1437378, 51.0606222], [-114.1437327, 51.0606275], [-114.1437277, 51.0606328], [-114.1437226, 51.0606381], [-114.1437174, 51.0606433], [-114.1437122, 51.0606486], [-114.143707, 51.0606538], [-114.1437018, 51.060659], [-114.1436966, 51.0606642], [-114.1436913, 51.0606694], [-114.143686, 51.0606746], [-114.1436806, 51.0606798], [-114.1436752, 51.060685], [-114.1436698, 51.0606901], [-114.1436644, 51.0606953], [-114.1435221, 51.0608294], [-114.143521, 51.0608304], [-114.14352, 51.0608314], [-114.1435191, 51.0608324], [-114.1435181, 51.0608335], [-114.1435172, 51.0608345], [-114.1435163, 51.0608356], [-114.1435154, 51.0608366], [-114.1435146, 51.0608377], [-114.1435138, 51.0608388], [-114.143513, 51.0608399], [-114.1435122, 51.060841], [-114.1435115, 51.0608421], [-114.1435108, 51.0608432], [-114.1435102, 51.0608443], [-114.1435095, 51.0608454], [-114.1435089, 51.0608466], [-114.1435084, 51.0608477], [-114.1435078, 51.0608488], [-114.1435073, 51.06085], [-114.1435069, 51.0608512], [-114.1435064, 51.0608523], [-114.143506, 51.0608535], [-114.1435057, 51.0608547], [-114.1435053, 51.0608558], [-114.143505, 51.060857], [-114.1435048, 51.0608582], [-114.1435045, 51.0608594], [-114.1435043, 51.0608606], [-114.1435041, 51.0608618], [-114.143504, 51.060863], [-114.1435039, 51.0608641], [-114.1435038, 51.0608653], [-114.1435038, 51.0608665], [-114.1435038, 51.0608677], [-114.1435038, 51.0608689], [-114.1435038, 51.0608701], [-114.1435039, 51.0608713], [-114.1435041, 51.0608725], [-114.1435042, 51.0608737], [-114.1435044, 51.0608749], [-114.1435046, 51.0608761], [-114.1435049, 51.0608773], [-114.1435052, 51.0608784], [-114.1435055, 51.0608796], [-114.1435058, 51.0608808], [-114.1435062, 51.060882], [-114.1435066, 51.0608831], [-114.1435071, 51.0608843], [-114.1435076, 51.0608854], [-114.1435081, 51.0608866], [-114.1435086, 51.0608877], [-114.1435092, 51.0608889], [-114.1435098, 51.06089], [-114.1435105, 51.0608911], [-114.1435111, 51.0608923], [-114.1435118, 51.0608934], [-114.1435126, 51.0608945], [-114.1435133, 51.0608956], [-114.1435141, 51.0608966], [-114.1435149, 51.0608977], [-114.1435158, 51.0608988], [-114.1435167, 51.0608999], [-114.1435176, 51.0609009], [-114.1435185, 51.0609019], [-114.1435195, 51.060903], [-114.1435205, 51.060904], [-114.1435215, 51.060905], [-114.1435226, 51.060906], [-114.1435237, 51.060907], [-114.1435248, 51.0609079], [-114.1435259, 51.0609089], [-114.1435271, 51.0609098], [-114.1435282, 51.0609108], [-114.1435295, 51.0609117], [-114.1435307, 51.0609126], [-114.143532, 51.0609135], [-114.1435332, 51.0609144], [-114.1435346, 51.0609152], [-114.1435359, 51.0609161], [-114.1435373, 51.0609169], [-114.1435386, 51.0609177], [-114.14354, 51.0609185], [-114.1435415, 51.0609193], [-114.1435429, 51.0609201], [-114.1435444, 51.0609209], [-114.1435459, 51.0609216], [-114.1435474, 51.0609223], [-114.1435489, 51.060923], [-114.1435505, 51.0609237], [-114.143552, 51.0609244], [-114.1448385, 51.0614664]]]]}",,,,,,,,
2005,079500005,1 101 25 AV SW,165000,RE,Residential,165000,MIS,MISSION,"{'type': 'MultiPolygon', 'coordinates': [[[[-114.0641895, 51.0302823], [-114.0644868, 51.0302908], [-114.0645115, 51.0299352], [-114.0641896, 51.0299261], [-114.064033, 51.0299216], [-114.06388, 51.0299172], [-114.0638177, 51.0299155], [-114.0635196, 51.0299068], [-114.0635327, 51.0299524], [-114.0635523, 51.029998], [-114.0635761, 51.0300436], [-114.0635972, 51.0300892], [-114.0636253, 51.030135], [-114.0636449, 51.0301805], [-114.0636688, 51.0302261], [-114.0636901, 51.0302681], [-114.0641895, 51.0302823]]]]}",,,,,,,,
